Market Name,Betfair Market ID,Oddschecker URL,Polymarket Market ID
Next Labour Leader,1.170273835,https://www.oddschecker.com/politics/british-politics/next-labour-leader,
Next Lib Dem Leader,1.179233218,,
Next Conservative Leader,1.205526560,https://www.oddschecker.com/politics/british-politics/next-conservative-leader,11413
Northern Territory Election 2024,1.223219482,,
Queensland State Election 2024,1.218937278,https://www.oddschecker.com/politics/australian-politics/state-elections/queensland-state-election,
Will Joe Biden be impeached before 2024 Election?,1.218257169,,
Senate Control after 2024 Election,1.225479090,,
Election Winner,1.176878927,https://www.oddschecker.com/politics/us-politics/us-presidential-election/winner,903193
Winning Party,1.178176964,https://www.oddschecker.com/politics/us-politics/us-presidential-election/winning-party,
Popular Vote Winner,1.178165812,,903216
Party of Popular Vote Winner,1.178176967,https://www.oddschecker.com/politics/us-politics/us-presidential-election/party-of-popular-vote-winner,
Gender of Election Winner,1.178176193,https://www.oddschecker.com/politics/us-politics/us-presidential-election/gender-of-election-winner,
Will Election Winner lose Popular Vote?,1.226054697,https://www.oddschecker.com/politics/us-politics/us-presidential-election/election-winner-to-lose-popular-vote,
Joe Manchin to be re-elected to the senate in 2024,1.213966025,,
Mississippi,1.230000329,https://www.oddschecker.com/politics/us-politics/us-state-betting/mississippi,
Arizona,1.229996509,https://www.oddschecker.com/politics/us-politics/us-state-betting/arizona,
Massachusetts,1.230000327,https://www.oddschecker.com/politics/us-politics/us-state-betting/massachusetts,
Oklahoma,1.230123427,https://www.oddschecker.com/politics/us-politics/us-state-betting/oklahoma,
Pennsylvania,1.230123429,https://www.oddschecker.com/politics/us-politics/us-state-betting/pennsylvania,
Oregon,1.230123428,https://www.oddschecker.com/politics/us-politics/us-state-betting/oregon,
Minnesota,1.229999638,https://www.oddschecker.com/politics/us-politics/us-state-betting/minnesota,
Hawaii,1.229997182,https://www.oddschecker.com/politics/us-politics/us-state-betting/hawaii,
Alabama,1.229996495,https://www.oddschecker.com/politics/us-politics/us-state-betting/alabama,
Texas,1.230123858,https://www.oddschecker.com/politics/us-politics/us-state-betting/texas,
Rhode Island,1.230123454,https://www.oddschecker.com/politics/us-politics/us-state-betting/rhode-island,
Florida,1.229997015,https://www.oddschecker.com/politics/us-politics/us-state-betting/florida,
Delaware,1.229997012,https://www.oddschecker.com/politics/us-politics/us-state-betting/delaware,
Connecticut,1.229997011,https://www.oddschecker.com/politics/us-politics/us-state-betting/connecticut,
Colorado,1.229997010,https://www.oddschecker.com/politics/us-politics/us-state-betting/colorado,
